"Day of year","Hour","length_in_meters","AvenidaCentral","AvenidaLiberdade","RuaDeCaires","Bosch","week_or_not"
311,19,565.3333333333333,4245.127327554443,4192.263817611254,3881.0926784837234,3575.6468752371793,1
311,20,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,21,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,22,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,23,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,0,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,1,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,2,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,3,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,4,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,5,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,6,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
312,7,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,8,535.8000000000001,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447565,1
312,9,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
312,10,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,11,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,12,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
312,13,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,14,602,5367.970373427053,5000.855554335712,4991.048908781982,4415.7975394955,1
312,15,602,5367.970373427053,5000.855554335712,4991.048908781982,4415.7975394955,1
312,16,602,5367.970373427053,5000.855554335712,4991.048908781982,4415.7975394955,1
312,17,530.8000000000001,4986.852020912605,4765.316244901716,4321.315763493754,3708.5207465165595,1
312,18,529.1666666666667,5138.553446956184,4872.322589406789,4398.4116691731015,3707.46636387558,1
312,19,535.8000000000001,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447565,1
312,20,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
312,21,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,22,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
312,23,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
313,0,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,1,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,2,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,3,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,4,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,5,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,6,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,7,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,8,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,9,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,10,602,5367.970373427053,5000.855554335712,4991.048908781982,4415.7975394955,0
313,11,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,12,613.6666666666666,4245.127327554443,4192.263817611254,3881.0926784837234,3575.6468752371793,0
313,13,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,14,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,15,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,16,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,17,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,18,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,19,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,20,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
